ro,Rancho El Socorro,10,,24.516667,-103.916667
mx,santa elena,Santa Elena,12,,16.875,-99.325
mx,santa elena,Santa Elena,14,,20.383333,-102.333333
mx,santa elena,Santa Elena,15,,19.866111,-99.597778
mx,santa elena,Santa Elena,16,,18.658333,-101.577778
mx,santa elena,Santa Elena,19,,26.826389,-100.046667
mx,santa elena,Santa Elena,20,,15.753056,-96.880278
mx,santa elena,Santa Elena,23,,18.483333,-88.4
mx,santa elena,Santa Elena,24,,21.583333,-99.4
mx,santa elena,Santa Elena,26,,28.85,-111.55
mx,santa elena,Santa Elena,27,,17.566667,-91.166667
mx,santa elena,Santa Elena,28,,22.5,-99.05
mx,santa elena,Santa Elena,29,,19.223611,-98.35
mx,santa elena,Santa Elena,30,,17.916667,-95.75
mx,santa elena,Santa Elena,31,3335,20.333333,-89.65
mx,santa elena,Santa Elena,32,,21.983333,-101.5
mx,santa eleuteria,Santa Eleuteria,31,,20.683333,-88.3125
mx,santa elia,Santa Elia,24,,22.133333,-99.266667
mx,santa elvira,Santa Elvira,05,,15.933333,-92.233333
mx,santa elvira,Santa Elvira,26,,28.65,-111.483333
mx,santa emilia,Santa Emilia,06,,30.416667,-105.2
mx,santa emilia,Santa Emilia,26,,28.783333,-111.45
mx,santa emilia,Santa Emilia,28,,23.2,-98.016667
mx,santa emilia,Santa Emilia,30,,20.216667,-97.466667
mx,santa engracia,Santa Engracia,11,,20.605833,-101.281944
mx,santa engracia,Santa Engracia,19,,25.416667,-99.566667
mx,santa engracia,Santa Engracia,20,,16.433333,-94.216667
mx,santa engracia,Santa Engracia,28,6961,24.016667,-99.2
mx,santa enriqueta,Santa Enriqueta,28,,24.166667,-99.033333
mx,santa epifenia,Santa Epifenia,24,,21.983333,-100.45
mx,santa etena,Santa Etena,14,,21.416667,-101.8
mx,santa eugenia,Santa Eugenia,10,,26.166667,-104.95
mx,santa eulalia,Santa Eulalia,06,,28.6,-105.883333
mx,santa eulalia,Santa Eulalia,07,,25.683333,-103.1
mx,santa eulalia,Santa Eulalia,10,,24.933333,-103.416667
mx,santa eulalia,Santa Eulalia,11,,20.535,-101.382778
mx,santa eulalia,Santa Eulalia,26,,30.2,-110.716667
mx,santa eulalia,Santa Eulalia,28,,23.95,-98.666667
mx,santa fe 2,Santa Fe 2,10,,24.583333,-106.283333
mx,santa fe de guadalupe,Santa Fe de Guadalupe,11,,20.898333,-101.1875
mx,santa fe de la ceja,Santa Fe de La Ceja,28,,24.216667,-98.283333
mx,santa fe de la laguna,Santa Fe de la Laguna,16,4359,19.666667,-101.55
mx,santa fe de los linderos,Santa Fe de los Linderos,07,,25.183333,-101.033333
mx,santa fe del rio,Santa Fe del Río,16,,20.2,-101.833333
mx,santa fe la laguna,Santa Fe la Laguna,16,,19.666667,-101.55
mx,santa fe la troje,Santa Fe La Troje,29,,19.530556,-98.023611
mx,santa felicitas,Santa Felícitas,21,,20.116667,-98.133333
mx,santa felicitas,Santa Felícitas,26,,30.916667,-112.3
mx,santa fe,Santa Fe,01,,22.004167,-102.283333
mx,santa fe,Santa Fe,03,,24.308333,-111.218611
mx,santa fe,Santa Fe,04,,19.033333,-90.233333
mx,santa fe,Santa Fé,05,,14.948611,-92.431944
mx,santa fe,Santa Fe,06,,26.966667,-103.933333
mx,santa fe,Santa Fe,07,,25.566667,-103.333333
mx,santa fe,Santa Fé,08,,19.183333,-103.591667
mx,santa fe,Santa Fe,09,,19.383333,-99.25
mx,santa fe,Santa Fé,10,,24.433333,-103.933333
mx,santa fe,Santa Fe,11,,21.038333,-100.561944
mx,santa fe,Santa Fe,12,,17.116667,-100.566667
mx,santa fe,Santa Fé,13,,20.190278,-99.566667
mx,santa fe,Santa Fe,14,,20,-104.283333
mx,santa fe,Santa Fé,16,,18.933333,-100.975
mx,santa fe,Santa Fe,18,,21.266667,-104.4
mx,santa fe,Santa Fe,19,,23.583333,-100.25
mx,santa fe,Santa Fe,20,,16.883333,-95.3
mx,santa fe,Santa Fe,24,,21.933333,-99.583333
mx,santa fe,Santa Fe,25,,23.166667,-106.116667
mx,santa fe,Santa Fe,26,,27.966667,-110.65
mx,santa fe,Santa Fé,28,,22.783333,-98.45
mx,santa fe,Santa Fe,29,,19.575,-98.044444
mx,santa fe,Santa Fé,30,,17.925,-94.886111
mx,santa fe,Santa Fe,32,,22.55,-103.033333
mx,santa fe tepetlaca,Santa Fé Tepetlaca,12,,18.533333,-99.416667
mx,santa fe tepetlapa,Santa Fe Tepetlapa,12,,18.533333,-99.416667
mx,santa francisca,Santa Francisca,19,,26.051389,-99.384722
mx,santa genoveva,Santa Genoveva,07,,26.333333,-101.283333
mx,santa genoveva,Santa Genoveva,10,,26.116667,-104.75
mx,santa genoveva,Santa Genoveva,28,,22.916667,-99.1
mx,santa germania,Santa Germania,26,,28.866667,-111.183333
mx,santa gertrudis cozoltepec,Santa Gertrudis Cozoltepec,20,,15.816667,-96.716667
mx,santa gertrudis de los paulines,Santa Gertrudis de los Paulines,28,,24.033333,-99.166667
mx,santa gertrudis miramar,Santa Gertrudis Miramar,20,,16.1,-95.416667
mx,santa gertrudis,Santa Gertrudis,02,,28.083333,-113.066667
mx,santa gertrudis,Santa Gertrudis,03,,23.593611,-110.122222
mx,santa gertrudis,Santa Gertrudis,04,,17.85,-90.433333
mx,santa gertrudis,Santa Gertrudis,05,,15.083333,-92.55
mx,santa gertrudis,Santa Gertrudis,06,,27.116667,-105.633333
mx,santa gertrudis,Santa Gertrudis,07,,27.166667,-101.533333
mx,santa gertrudis,Santa Gertrudis,10,,24.483333,-104.216667
mx,santa gertrudis,Santa Gertrudis,11,,20.066667,-101.3
mx,santa gertrudis,Santa Gertrudis,12,,18.05,-100.883333
mx,santa gertrudis,Santa Gertrudis,13,,20.090278,-98.802778
mx,santa gertrudis,Santa Gertrudis,14,,19.633333,-103.3
mx,santa gertrudis,Santa Gertrudis,15,5185,19.733333,-99.366667
mx,santa gertrudis,Santa Gertrudis,16,,18.623611,-101.216667
mx,santa gertrudis,Santa Gertrudis,18,,21.35,-104.3
mx,santa gertrudis,Santa Gertrudis,19,,23.916667,-100.183333
mx,santa gertrudis,Santa Gertrudis,20,,16.1,-95.416667
mx,santa gertrudis,Santa Gertrudis,23,,19.8,-88.775
mx,santa gertrudis,Santa Gertrudis,24,,22.6,-101.316667
mx,santa gertrudis,Santa Gertrudis,26,,29.233333,-110.733333
mx,santa gertrudis,Santa Gertrudis,28,,22.616667,-98.2
mx,santa gertrudis,Santa Gertrudis,30,,18.675,-95.825
mx,santa gertrudis,Santa Gertrudis,32,,21.333333,-103.15
mx,santa guadalupe,Santa Guadalupe,10,,26.133333,-104.416667
mx,santa gudula,Santa Gúdula,31,,20.6,-89.966667
mx,santa helena,Santa Helena,06,,29.116667,-103.533333
mx,santa hilda,Santa Hilda,05,,14.966667,-92.466667
mx,santa ines ahuatempan,Santa Inés Ahuatempan,21,,18.416667,-98.016667
mx,santa ines borbolla,Santa Inés Borbolla,21,,19,-97.483333
mx,santa ines de barraza,Santa Inés de Barraza,06,,27.066667,-104.633333
mx,santa ines de la oscura,Santa Inés de la Oscura,24,,23.316667,-100.85
mx,santa ines del monte,Santa Inés del Monte,20,,16.933333,-96.85
mx,santa ines,Santa Inés,01,,21.683333,-102.333333
mx,santa ines,Santa Inés,02,,29.7,-114.7
mx,santa ines,Santa Inés,04,,18.033333,-91.622222
mx,santa ines,Santa Inés,05,,15.966667,-92
mx,santa ines,Santa Inés,06,,26.666667,-107.866667
mx,santa ines,Santa Inés,07,,25.583333,-101.833333
mx,santa ines,Santa Inés,08,,18.918056,-103.670833
mx,santa ines,Santa Inés,10,,25.25,-105.133333
mx,santa ines,Santa Inés,11,,20.046667,-100.587222
mx,santa ines,Santa Inés,13,,20.466667,-98.1
mx,santa ines,Santa Inés,14,,20.516667,-104.366667
mx,santa ines,Santa Inés,15,,19.541667,-98.808333
mx,santa ines,Santa Inés,16,,19.716667,-102.55
mx,santa ines,Santa Inés,17,,18.833333,-98.95
mx,santa ines,Santa Inés,19,,25.55,-99.95
mx,santa ines,Santa Inés,20,,16.483333,-96.933333
mx,santa ines,Santa Inés,21,,18.416667,-98.016667
mx,santa ines,Santa Inés,22,,21.177778,-99.122222
mx,santa ines,Santa Inés,28,,23.1,-98.45
mx,santa ines,Santa Inés,30,,18.066667,-94.136111
mx,santa ines,Santa Inés,31,,20.833333,-88.6
mx,santa ines,Santa Inés,32,,22.083333,-103.133333
mx,santa ines sola,Santa Inés Sola,20,,16.483333,-96.933333
mx,santa ines tarzeche,Santa Inés Tarzeche,20,,16.8125,-96.765556
mx,santa ines tecoexcomac,Santa Inés Tecoexcomac,29,,19.283333,-98.333333
mx,santa ines tecuexcomac,Santa Inés Tecuexcomac,29,,19.283333,-98.333333
mx,santa ines varela la luz,Santa Inés Varela la Luz,21,,19.15,-97.416667
mx,santa ines varela,Santa Ines Varela,21,,19.15,-97.416667
mx,santa ines y jantas,Santa Inés y Jantas,14,,21.4,-102.066667
mx,santa ines zacatelco,Santa Inés Zacatelco,29,,19.215278,-98.238889
mx,santa inez de barraza,Santa Inéz de Barraza,06,,27.066667,-104.633333
mx,santa inez,Santa Inez,10,,25.25,-105.133333
mx,santa irene alvarado,Santa Irene Alvarado,27,,17.720833,-92.979167
mx,santa isabel arenillas,Santa Isabel Arenillas,06,,28.316667,-105.383333
mx,santa isabel chalma,Santa Isabel Chalma,15,,19.15,-98.766667
mx,santa isabel cholula,Santa Isabel Cholula,21,,19,-98.366667
mx,santa isabel de la reforma,Santa Isabel de la Reforma,20,,16.969444,-95.953611
mx,santa isabel del monte,Santa Isabel del Monte,15,,19.408333,-99.971667
mx,santa isabel del resbalon,Santa Isabel del Resbalón,10,,25.066667,-104.483333
mx,santa isabel ixtapan,Santa Isabel Ixtapan,15,,19.583333,-98.933333
mx,santa isabel,Santa Isabel,02,21152,28.383333,-113.35
mx,santa isabel,Santa Isabel,03,,23.663889,-110.241944
mx,santa isabel,Santa Isabel,04,,18.116667,-90.8
mx,santa isabel,Santa Isabel,05,,15.316667,-92.466667
mx,santa isabel,Santa Isabel,06,,26.95,-105.083333
mx,santa isabel,Santa Isabel,07,,25.133333,-101.05
mx,santa isabel,Santa Isabel,10,,24.116667,-104.9
mx,santa isabel,Santa Isabel,11,,20.1,-100.483333
mx,santa isabel,Santa Isabel,14,,21.25,-102.566667
mx,santa isabel,Santa Isabel,15,,19.534167,-99.634444
mx,santa isabel,Santa Isabel,18,,21.166667,-104.616667
mx,santa isabel,Santa Isabel,19,,23.945833,-100.546667
mx,santa isabel,Santa Isabel,20,,17.666667,-95.35
mx,santa isabel,Santa Isabel,21,,19,-98.366667
mx,santa isabel,Santa Isabel,23,,19.479167,-88.1
mx,santa isabel,Santa Isabel,24,,21.683333,-98.916667
mx,santa isabel,Santa Isabel,25,,23.15,-106.216667
mx,santa isabel,Santa Isabel,26,,27.366667,-108.916667
mx,santa isabel,Santa Isabel,27,,17.85,-91.4625
mx,santa isabel,Santa Isabel,28,,23.25,-99.083333
mx,santa isabel,Santa Isabel,29,,19.223611,-98.290278
mx,santa isabel,Santa Isabel,30,,17.908333,-94.488889
mx,santa isabel,Santa Isabel,31,,20.983333,-89.033333
mx,santa isabel,Santa Isabel,32,,22.583333,-104.066667
mx,santa isabel tepetzala,Santa Isabel Tepetzala,21,,19.116667,-97.933333
mx,santa isabel viejo,Santa Isabel Viejo,02,,31.883333,-115.816667
mx,santa isabel y dolores,Santa Isabel y Dolores,19,,25.535278,-99.756944
mx,santa jacinta,Santa Jacinta,30,,21.75,-98.05
mx,santa juana centro,Santa Juana Centro,15,,19.425,-99.754444
mx,santa juana,Santa Juana,15,,19.388889,-99.759167
mx,santa juana,Santa Juana,16,,19.425,-101.566667
mx,santa juana,Santa Juana,28,,22.283333,-98.1
mx,santa juana,Santa Juana,32,,21.666667,-102.916667
mx,santa juanita,Santa Juanita,15,,19.541667,-100.133333
mx,santa julia,Santa Julia,05,,15.166667,-92.55
mx,santa julia,Santa Julia,07,,25.533333,-103.266667
mx,santa julia,Santa Julia,11,,21.1,-101.633333
mx,santa julia,Santa Julia,13,,20.283333,-99.816667
mx,santa julia,Santa Julia,23,,19.775,-87.466667
mx,santa julia,Santa Julia,26,,30.183333,-110.8
mx,santa julia,Santa Julia,29,,19.406944,-98.498611
mx,santa julia,Santa Julia,30,,18.416667,-95.55
mx,santa julia,Santa Julia,31,,20.466667,-89.966667
mx,santa julinana,Santa Julinana,06,,26.966667,-105.1
mx,santa justina,Santa Justina,29,,19.333333,-98.366667
mx,santa laura,Santa Laura,26,,28.716667,-111.35
mx,santa leonor,Santa Leonor,27,,17.875,-91.733333
mx,santa librada,Santa Librada,10,,25.766667,-104.033333
mx,santa librada,Santa Librada,28,,23.666667,-99.1
mx,santa loreto,Santa Loreto,25,,24.565833,-107.129722
mx,santa lucia cosamaloapan,Santa Lucía Cosamaloapan,21,,18.883333,-98.352778
mx,santa lucia de la cuesta,Santa Lucía de la Cuesta,14,,20.1,-104.833333
mx,santa lucia de la sierra,Santa Lucía de la Sierra,32,,22.466667,-104.216667
mx,santa lucia del progreso,Santa Lucía del Progreso,15,,19.025556,-99.388056
mx,santa lucia mecaltepec,Santa Lucía Mecaltepec,20,,16.161389,-95.935833
mx,santa lucia miahuatlan,Santa Lucía Miahuatlán,20,,16.191667,-96.632222
mx,santa lucia monteverde,Santa Lucía Monteverde,20,,16.95,-97.666667
mx,santa lucia,Santa Lucía,02,,32.533333,-116.566667
mx,santa lucia,Santa Lucía,03,,27.366667,-112.716667
mx,santa lucia,Santa Lucía,04,,18.622222,-90.169444
mx,santa lucia,Santa Lucia,05,,14.733333,-92.283333
mx,santa lucia,Santa Lucía,06,,28.383333,-106.783333
mx,santa lucia,Santa Lucía,07,,25.8,-103.183333
mx,santa lucia,Santa Lucía,08,,18.729167,-103.730556
mx,santa lucia,Santa Lucía,09,,19.354167,-99.254444
mx,santa lucia,Santa Lucía,10,,23.6,-105.533333
mx,santa lucia,Santa Lucía,11,,20.453056,-102.012778
mx,santa lucia,Santa Lucia,12,,17.4,-100.816667
mx,santa lucia,Santa Lucía,13,,20.275,-99.563889
mx,santa lucia,Santa Lucía,14,,20.35,-102.366667
mx,santa lucia,Santa Lucía,15,,19.653611,-99.644722
mx,santa lucia,Santa Lucía,18,,20.866667,-105.216667
mx,santa lucia,Santa Lucía,19,,23.764167,-99.92
mx,santa lucia,Santa Lucía,20,,15.933333,-96.466667
mx,santa lucia,Santa Lucía,22,,20.316667,-100.05
mx,santa lucia,Santa Lucia,23,,18.483333,-88.483333
mx,santa lucia,Santa Lucía,24,,21.733333,-100.666667
mx,santa lucia,Santa Lucía,25,,23.433333,-105.35
mx,santa lucia,Santa Lucía,26,,28,-110.766667
mx,santa lucia,Santa Lucía,27,,17.545833,-91.554167
mx,santa lucia,Santa Lucía,28,,23.7,-99.1
mx,santa lucia,Santa Lucía,30,,18.9,-96.3
mx,santa lucia,Santa Lucía,32,,23.933333,-103.766667
mx,santa lucia sosola,Santa Lucía Sosola,20,,17.430556,-97.068611
mx,santa lucia teotepec,Santa Lucía Teotepec,20,,16.146111,-97.219722
mx,santa lucrecia del valle,Santa Lucrecia del Valle,05,,14.791667,-92.3875
mx,santa lucrecia,Santa Lucrecia,06,,27.65,-105.633333
mx,santa lucrecia,Santa Lucrecia,25,,23.883333,-106.766667
mx,santa lucrecia,Santa Lucrecia,30,,17.433333,-95.033333
mx,santa luica de abajo,Santa Luíca de Abajo,28,,24.479167,-99.555
mx,santa magdalena,Santa Magdalena,08,,18.886111,-103.8625
mx,santa magdalena,Santa Magdalena,15,,19.233333,-100.166667
mx,santa magdalena,Santa Magdalena,25,,26.05,-108.033333
mx,santa maia,Santa Maía,20,,16.46,-97.501111
mx,santa margarita agua azul,Santa Margarita Agua Azul,05,,16.216667,-91.333333
mx,santa margarita huitepec,Santa Margarita Huitepec,20,,16.9,-95.733333
mx,santa margarita,Santa Margarita,02,,28.15,-113.566667
mx,santa margarita,Santa Margarita,05,,17.383333,-91.483333
mx,santa margarita,Santa Margarita,06,,28.5,-104.3
mx,santa margarita,Santa Margarita,07,,29.466667,-101.483333
mx,santa margarita,Santa Margarita,19,,24.263611,-100.414444
mx,santa margarita,Santa Margarita,20,,16.7,-96.166667
mx,santa margarita,Santa Margarita,26,,29.866667,-110.583333
mx,santa margarita,Santa Margarita,28,,24.355,-99.560278
mx,santa margarita,Santa Margarita,30,,18.2,-95.466667
mx,santa maria acapulco,Santa María Acapulco,24,,21.483333,-99.45
mx,santa maria acolman,Santa María Acolman,15,,19.65,-98.908333
mx,santa maria acuexcomac,Santa María Acuexcomac,21,,19.033333,-98.383333
mx,santa maria acuitlapilco,Santa María Acuitlapilco,29,,19.3,-98.233333
mx,santa maria acu,Santa María Acú,31,,20.55,-90.166667
mx,santa maria ajoloapan,Santa María Ajoloapan,15,,19.7625,-98.958333
mx,santa maria albarradas,Santa María Albarradas,20,,16.9925,-96.1875
mx,santa maria alotepec,Santa María Alotepec,20,,17.083333,-95.85
mx,santa maria amajac,Santa María Amajac,13,,20.233333,-99
mx,santa maria amiltepec,Santa María Amiltepec,20,,16.283333,-97.233333
mx,santa maria apasco,Santa María Apasco,20,,17.633333,-97.116667
mx,santa maria apaxco,Santa María Apaxco,15,,19.95,-99.191944
mx,santa maria apipilhuazco,Santa María Apipilhuazco,30,,20.55,-97.966667
mx,santa maria asuncion puxmetacan,Santa María Asunción Puxmetacan,20,,17.266667,-95.633333
mx,santa maria asuncion,Santa María Asunción,13,,20.163889,-98.266667
mx,santa maria asuncion,Santa María Asunción,20,,17.25,-98.016667
mx,santa maria asuncion tlaxiaco,Santa María Asunción Tlaxiaco,20,,17.266667,-97.683333
mx,santa maria atarasquillo,Santa María Atarasquillo,15,,19.325833,-99.471944
mx,santa maria aticpac,Santa María Aticpac,15,,19.85,-98.733333
mx,santa maria atlihuetzian,Santa María Atlihuetzián,29,,19.366667,-98.166667
mx,santa maria ayoquezco de aldama,Santa María Ayoquezco de Aldama,20,,16.683333,-96.833333
mx,santa maria ayu,Santa María Ayú,20,,17.933333,-97.8
mx,santa maria azompa,Santa María Azompa,20,,17.1,-96.783333
mx,santa maria aztahuacan,Santa María Aztahuacán,09,,19.35,-99.05
mx,santa maria batha,Santa María Bathá,13,,20.233333,-99.25
mx,santa maria caliacac,Santa María Caliacac,15,,19.765833,-99.182778
mx,santa maria camotlan,Santa María Camotlán,20,,17.9,-97.683333
mx,santa maria chachoapam,Santa Maria Chachoapam,20,,17.55,-97.3
mx,santa maria chachoapan,Santa María Chachoapan,20,,17.55,-97.3
mx,santa maria chicometepec,Santa María Chicometepec,20,,16.175,-97.966667
mx,santa maria chiconautla,Santa María Chiconautla,15,,19.620833,-99.006944
mx,santa maria chico ometepec,Santa María Chico Ometepec,20,,16.175,-97.966667
mx,santa maria chilapa de diaz,Santa María Chilapa de Díaz,20,,17.516667,-97.683333
mx,santa maria chilchotla,Santa María Chilchotla,20,,18.233333,-96.816667
mx,santa maria chimalapa,Santa María Chimalapa,20,,16.96,-97.694444
mx,santa maria chimalhuacan,Santa María Chimalhuacán,15,,19.416667,-98.9
mx,santa maria chiquito,Santa María Chiquito,06,,28.15,-108.55
mx,santa maria chi,Santa María Chi,31,,21.033333,-89.466667
mx,santa maria chisme,Santa María Chisme,20,,17.25,-95.766667
mx,santa maria coatlan,Santa María Coatlán,15,,19.683333,-98.825
mx,santa maria coatlan,Santa María Coatlán,20,,16.233333,-96.716667
mx,santa maria cohetzala,Santa María Cohetzala,21,,18.183333,-98.816667
mx,santa maria colotepec,Santa María Colotepec,20,,15.883333,-96.916667
mx,santa maria conchesda,Santa María Conchesda,15,,19.85,-100.0625
mx,santa maria coronanco,Santa María Coronanco,21,,19.116667,-98.3
mx,santa maria coronango,Santa María Coronango,21,,19.116667,-98.3
mx,santa maria cortijos,Santa María Cortijos,20,,16.45,-98.233333
mx,santa maria coxacac,Santa María Coxacac,15,,19.758333,-99.183333
mx,santa maria coyomeapan,Santa María Coyomeapan,21,,18.266667,-96.983333
mx,santa maria coyotepec,Santa María Coyotepec,20,,16.976944,-96.699167
mx,santa maria cuautepec,Santa María Cuautepec,15,,19.633333,-99.133333
mx,santa maria cuevas,Santa María Cuevas,29,,20.386111,-97.7375
mx,santa maria daxtho,Santa María Daxthó,13,,20.233333,-99.416667
mx,santa maria de abajo,Santa María de Abajo,10,,25.9,-105.183333
mx,santa maria de abajo,Santa María de Abajo,14,,21.416667,-102.233333
mx,santa maria de arriba,Santa Maria de Arriba,10,,25.933333,-105.166667
mx,santa maria de arriba,Santa María de Arriba,14,,20.45,-104.016667
mx,santa maria de atocha,Santa María de Atocha,28,,23.033333,-99.533333
mx,santa maria de cuevas,Santa María de Cuevas,06,,27.916667,-106.383333
mx,santa maria de enmedio,Santa María de Enmedio,14,,21.416667,-102.2
mx,santa maria de gallardo,Santa María de Gallardo,01,,22.05,-102.116667
mx,santa maria de gracia,Santa María de Gracia,22,,20.888889,-99.615278
mx,santa maria de guadalupe,Santa María de Guadalupe,11,,20.609167,-101.031111
mx,santa maria de guadalupe,Santa Maria de Guadalupe,14,,19.566667,-102.916667
mx,santa maria de guadalupe,Santa María de Guadalupe,28,,22.9,-99.483333
mx,santa maria de guaymas,Santa María de Guaymas,26,,28.133333,-110.7
mx,santa maria de la begonia,Santa María de la Begonia,22,,20.747222,-100.316667
mx,santa maria de la huerta,Santa María de la Huerta,14,,20.383333,-104.066667
mx,santa maria de la noria,Santa María de La Noria,28,,23.516667,-98.683333
mx,santa maria de la paz,Santa María de la Paz,01,,22.383333,-102.266667
mx,santa maria de la paz,Santa María de la Paz,32,,21.5,-103.416667
mx,santa maria de las delicias,Santa María de las Delicias,15,,19.4,-100.15
mx,santa maria de las flores,Santa María de las Flores,12,,18.05,-100.233333
mx,santa maria del buaraje,Santa María del Buaraje,26,,27.3,-109.8
mx,santa maria del llano,Santa María del Llano,15,,19.631667,-99.728889
mx,santa maria del mar,Santa María del Mar,20,,16.233333,-94.85
mx,santa maria del mar,Santa María del Mar,30,,20.5375,-97.058333
mx,santa maria del monte,Santa María del Monte,15,5299,19.287778,-99.822778
mx,santa maria del monte,Santa María del Monte,21,,18.533333,-97.2
mx,santa maria del nogalar,Santa María del Nogalar,28,,23.2,-98.35
mx,santa maria del oro,Santa María del Oro,10,5710,25.933333,-105.366667
mx,santa maria del oro,Santa María del Oro,18,3596,21.333333,-104.583333
mx,santa maria de los angeles,Santa María de los Ángeles,14,,22.183333,-103.233333
mx,santa maria de los angeles,Santa María de los Ángeles,32,,22.283333,-101.866667
mx,santa maria de los banos,Santa María de los Baños,22,,20.790278,-100.315278
mx,santa maria de los nogales,Santa María de los Nogales,28,,23.2,-98.35
mx,santa maria del pino,Santa María del Pino,13,,20.233333,-99.416667
mx,santa maria del playon,Santa María del Playón,25,,25.15,-108.116667
mx,santa maria del refugio,Santa María del Refugio,11,,20.4,-100.8
mx,santa maria del refugio,Santa María del Refugio,14,,21.933333,-103.5
mx,santa maria del refugio,Santa María del Refugio,24,,23.733333,-101.233333
mx,santa maria del rincon,Santa María del Rincón,20,,16.639167,-97.973611
mx,santa maria del rio,Santa María del Río,24,12097,21.8,-100.75
mx,santa maria del rosario,Santa María del Rosario,20,,17.343611,-97.599167
mx,santa maria del socorro,Santa Maria del Socorro,19,,25.027778,-100.381944
mx,santa maria del tule,Santa María del Tule,20,7195,17.033333,-96.616667
mx,santa maria del valle,Santa María del Valle,14,,20.866667,-102.366667
mx,santa maria del valle,Santa María del Valle,20,,16.449167,-96.486111
mx,santa maria de mohovano,Santa María de Mohovano,07,,26.683333,-103.616667
mx,santa maria de ocotan,Santa María de Ocotán,10,,22.983333,-104.516667
mx,santa maria de ocotan,Santa Maria de Ocotán,18,,22.7025,-105.181111
mx,santa maria de otaens,Santa María de Otaens,10,,24.7,-105.983333
mx,santa maria de otaes,Santa Maria de Otáes,10,,24.7,-105.983333
mx,santa maria de otaez,Santa María de Otáez,10,,24.7,-105.983333
mx,santa maria de zapote,Santa María de Zapote,22,,20.65,-100.533333
mx,santa maria ecatepec,Santa María Ecatepec,10,,16.283333,-95.883333
mx,santa maria el chico,Santa María El Chico,13,,20.108333,-98.395833
mx,santa maria endare,Santa María Endaré,15,,19.727222,-99.811667
mx,santa maria grande,Santa María Grande,31,,20.816667,-88.316667
mx,santa maria guadalupe,Santa María Guadalupe,15,,19.584444,-99.195833
mx,santa maria guelaxe,Santa María Guelaxé,20,,16.992222,-96.609167
mx,santa maria guienagati,Santa María Guienagati,20,,16.733333,-95.35
mx,santa maria haciendita,Santa María Haciendita,16,,19.316667,-100.35
mx,santa maria huatulco,Santa María Huatulco,20,,15.843611,-96.326667
mx,santa maria huazolotitlan,Santa María Huazolotitlan,20,,16.283333,-97.933333
mx,santa maria huexoculco,Santa María Huexoculco,15,,19.258333,-98.816667
mx,santa maria huitepec,Santa Maria Huitepec,20,,17.175278,-96.028056
mx,santa maria ilucan,Santa María Ilucán,13,,19.983333,-99.348611
mx,santa maria ipalapa,Santa María Ipalapa,20,,16.633333,-98.033333
mx,santa maria itatlaxco,Santa Maria Itatlaxco,13,,20.816667,-99.116667
mx,santa maria ixcatepec,Santa Maria Ixcatepec,30,,21.216667,-98
mx,santa maria ixcatlan,Santa Maria Ixcatlán,20,,17.851944,-97.192778
mx,santa maria ixcotla,Santa María Ixcotla,29,,19.416667,-98.316667
mx,santa maria ixtiyucan,Santa María Ixtiyucan,21,,19.183333,-97.816667
mx,santa maria jacatepec,Santa María Jacatepec,20,,17.866111,-96.211667
mx,santa maria jajalpa,Santa María Jajalpa,15,,19.111389,-99.54
mx,santa maria jalapa del marques,Santa María Jalapa del Marqués,20,,16.445833,-95.451667
mx,santa maria jalatengo,Santa María Jalatengo,20,,16.03,-96.538056
mx,santa maria jaltianguis,Santa María Jaltianguis,20,,17.366667,-96.533333
mx,santa maria jicaltepec,Santa María Jicaltepec,20,,16.366667,-98.016667
mx,santa maria jiotes,Santa María Jiotes,20,,18.116667,-96.816667
mx,santa maria la alta,Santa María la Alta,21,6397,18.6,-97.666667
mx,santa maria la asuncion,Santa María La Asunción,15,,18.8125,-99.5625
mx,santa maria la calera,Santa María La Calera,13,,20.033333,-98.716667
mx,santa maria la chichina,Santa María la Chichina,20,,17.483333,-96.266667
mx,santa maria lachixio,Santa María Lachixío,20,,16.718611,-97.015833
mx,santa maria la lima,Santa María La Lima,20,,16.96,-97.990278
mx,santa maria la loma,Santa María la Loma,15,,20.020833,-100.008333
mx,santa maria la palma,Santa María la Palma,13,,20.366667,-99.383333
mx,santa maria la paz,Santa María La Paz,32,,22.55,-102.15
mx,santa maria la redonda,Santa María La Redonda,30,,17.972222,-94.436111
mx,santa maria limon,Santa María Limón,20,,15.8125,-96.383611
mx,santa maria lovani,Santa María Lovaní,20,,17.5,-96.1
mx,santa maria macua,Santa María Mácua,13,,20.133333,-99.483333
mx,santa maria magdalena cahuacan,Santa María Magdalena Cahuacán,15,,19.639167,-99.416111
mx,santa maria magdalena,Santa María Magdalena,13,,19.975278,-99.378056
mx,santa maria magdalena,Santa María Magdalena,20,,15.93,-96.390278
mx,santa maria magdalena,Santa María Magdalena,22,,20.566667,-100.366667
mx,santa maria magdalena tiltepec,Santa María Magdalena Tiltepec,20,,16.066667,-97.183333
mx,santa maria maquixco,Santa María Maquixco,15,,19.783333,-98.833333
mx,santa maria mazatla,Santa María Mazatla,15,,19.513889,-99.388611
mx,santa maria mixistlan,Santa María Mixistlán,20,,17.139167,-96.093611
mx,santa maria moyotzingo,Santa María Moyotzingo,21,,19.25,-98.4
mx,santa maria natividad,Santa María Natividad,20,,17.525278,-98.000556
